Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199806","Water - Precipitation - rain","1998-06-15","1998-06-01","1998-06-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199807","Water - Precipitation - rain","1998-07-15","1998-07-01","1998-07-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199808","Water - Precipitation - rain","1998-08-15","1998-08-01","1998-08-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199809","Water - Precipitation - rain","1998-09-15","1998-09-01","1998-09-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199810","Water - Precipitation - rain","1998-10-15","1998-10-01","1998-10-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199811","Water - Precipitation - rain","1998-11-15","1998-11-01","1998-11-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199812","Water - Precipitation - rain","1998-12-15","1998-12-01","1998-12-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199901","Water - Precipitation - rain","1999-01-15","1999-01-01","1999-01-31","","-1.49","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","11.2","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199902","Water - Precipitation - rain","1999-02-15","1999-02-01","1999-02-28","","-9.25","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","191.2","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199903","Water - Precipitation - rain","1999-03-15","1999-03-01","1999-03-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199904","Water - Precipitation - rain","1999-04-15","1999-04-01","1999-04-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199905","Water - Precipitation - rain","1999-05-15","1999-05-01","1999-05-31","","","","","","","","","","",""
