Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196401","Water - Precipitation - unspecified (not reported)","1964-01-15","1964-01-01","1964-01-31","","","","","","","","","350","6.8","8.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196402","Water - Precipitation - unspecified (not reported)","1964-02-15","1964-02-01","1964-02-29","","","","","","","","","170","7.2","8.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196403","Water - Precipitation - unspecified (not reported)","1964-03-15","1964-03-01","1964-03-31","","-5.2","University of Copenhagen","-31.6","University of Copenhagen","","","","230","6.6","7.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196404","Water - Precipitation - unspecified (not reported)","1964-04-15","1964-04-01","1964-04-30","","-5.3","University of Copenhagen","-31","University of Copenhagen","","","","300","6.4","8.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196405","Water - Precipitation - unspecified (not reported)","1964-05-15","1964-05-01","1964-05-31","","-3.5","University of Copenhagen","-19.9","University of Copenhagen","","","","320","5.5","8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196406","Water - Precipitation - unspecified (not reported)","1964-06-15","1964-06-01","1964-06-30","","-7.4","University of Copenhagen","-49.6","University of Copenhagen","","","","284","3.8","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196407","Water - Precipitation - unspecified (not reported)","1964-07-15","1964-07-01","1964-07-31","","-4.2","University of Copenhagen","-23.6","University of Copenhagen","","","","180","4.1","7.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196408","Water - Precipitation - unspecified (not reported)","1964-08-15","1964-08-01","1964-08-31","","-4.3","University of Copenhagen","-28","University of Copenhagen","","","","221","3.1","6.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196409","Water - Precipitation - unspecified (not reported)","1964-09-15","1964-09-01","1964-09-30","","-4","University of Copenhagen","-27.3","University of Copenhagen","","","","191","3.6","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196410","Water - Precipitation - unspecified (not reported)","1964-10-15","1964-10-01","1964-10-31","","-6","University of Copenhagen","-41.6","University of Copenhagen","","","","150","4.2","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196411","Water - Precipitation - unspecified (not reported)","1964-11-15","1964-11-01","1964-11-30","","-5.7","University of Copenhagen","-41","University of Copenhagen","","","","293","4.3","6.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196412","Water - Precipitation - unspecified (not reported)","1964-12-15","1964-12-01","1964-12-31","","-5.3","University of Copenhagen","-39.1","University of Copenhagen","","","","195","5.3","7.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196501","Water - Precipitation - unspecified (not reported)","1965-01-15","1965-01-01","1965-01-31","","-4.6","University of Copenhagen","-37.2","University of Copenhagen","","","","285","6.9","8.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196502","Water - Precipitation - unspecified (not reported)","1965-02-15","1965-02-01","1965-02-28","","-5.1","University of Copenhagen","-28.6","University of Copenhagen","","","","317","6.8","8.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196503","Water - Precipitation - unspecified (not reported)","1965-03-15","1965-03-01","1965-03-31","","","","","","20","1","International Atomic Energy Agency","180","6.8","8.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196504","Water - Precipitation - unspecified (not reported)","1965-04-15","1965-04-01","1965-04-30","","","","","","27.7","6.9","International Atomic Energy Agency","299","6.6","8.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196505","Water - Precipitation - unspecified (not reported)","1965-05-15","1965-05-01","1965-05-31","","","","","","15.4","0.8","International Atomic Energy Agency","229","4.7","7.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196506","Water - Precipitation - unspecified (not reported)","1965-06-15","1965-06-01","1965-06-30","","","","","","15.3","0.9","International Atomic Energy Agency","187","4.9","7.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196507","Water - Precipitation - unspecified (not reported)","1965-07-15","1965-07-01","1965-07-31","","","","","","21.2","1","International Atomic Energy Agency","198","4.3","7.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196508","Water - Precipitation - unspecified (not reported)","1965-08-15","1965-08-01","1965-08-31","","","","","","54.1","2.2","International Atomic Energy Agency","208","3.5","6.7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196509","Water - Precipitation - unspecified (not reported)","1965-09-15","1965-09-01","1965-09-30","","","","","","44","1.9","International Atomic Energy Agency","359","4.1","6.7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196510","Water - Precipitation - unspecified (not reported)","1965-10-15","1965-10-01","1965-10-31","","","","","","31.1","1.4","International Atomic Energy Agency","172","4","6.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196511","Water - Precipitation - unspecified (not reported)","1965-11-15","1965-11-01","1965-11-30","","","","","","34.8","1.7","International Atomic Energy Agency","199","5.6","7.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196512","Water - Precipitation - unspecified (not reported)","1965-12-15","1965-12-01","1965-12-31","","","","","","30.5","1.3","International Atomic Energy Agency","205","6.2","7.6"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196601","Water - Precipitation - unspecified (not reported)","1966-01-15","1966-01-01","1966-01-31","","","","","","25.1","1.2","International Atomic Energy Agency","226","6.7","7.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196602","Water - Precipitation - unspecified (not reported)","1966-02-15","1966-02-01","1966-02-28","","","","","","31.7","1.3","International Atomic Energy Agency","284","6.2","8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196603","Water - Precipitation - unspecified (not reported)","1966-03-15","1966-03-01","1966-03-31","","","","","","","","","402","6.9","8.7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196604","Water - Precipitation - unspecified (not reported)","1966-04-15","1966-04-01","1966-04-30","","","","","","","","","101","4.8","7.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196605","Water - Precipitation - rain","1966-05-15","1966-05-01","1966-05-31","","","","","","","","","211","3.8","7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196606","Water - Precipitation - rain","1966-06-15","1966-06-01","1966-06-30","","","","","","","","","280","4.9","7.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196607","Water - Precipitation - unspecified (not reported)","1966-07-15","1966-07-01","1966-07-31","","","","","","","","","152","4","7.1"
